run_id,lr,batch_size,accuracy,f1,pipeline_time
1778524064718183,2e-05,16,0.9315,0.9268,701.8
1778524773197427,2e-05,16,0.9311,0.9270,732.4
1778525511882245,2e-05,16,0.9330,0.9297,698.0
1778526216538683,5e-06,16,0.9232,0.9172,861.6
1778527084708857,2e-05,16,0.9327,0.9286,827.1
1778527918365675,0.0001,32,0.9267,0.9225,773.2
